Job Title,Company,Location,Category
Grants and Procurement Officer,USAID Biodiversity (Jal Jangal),Kathmandu,"Development and Project, Development / NGO"
Team Lead,Creanovation Technologies Pvt. Ltd.,Lalitpur,"Education, Sales"
Consultant,Niti Foundation,Kathmandu,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO"
Correspondence Representative and  Assistant Correspondence Representative,JourneyDMC,Kathmandu,"Tourism Industry, Travel &amp; Ticketing"
Sales person,Triyuga Sales and Marketing Pvt. Ltd,Kathmandu,Sales
Corporate Sales manager,Triyuga Sales and Marketing Pvt. Ltd,Kathmandu,Sales
Intern(s),USAID Karnali Water Activity,"Rukum West, Rukum, Karnali Province","Development and Project, NGO/INGO/Social work"
PHP Laravel Developer,Code Fusion Technologies Pvt. Ltd.,Kathmandu,"Database Programming, Engineering - Software, Computer - Programming, Web Designing and Programming, Software Development, Core PHP Developer"
Sales Officer,Sajilo Sewa,Other - Specify,Sales
IT Support Engineer,ComplianceQuest Nepal Pvt. Ltd.,Kathmandu,"Engineer, Information Technology, Computer - Hardware / Network"
Request for Proposal-Radio Magazine Production and Broadcasting,USAID Karnali Water Activity,Kathmandu,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO"
Request for Proposal-Radio PSAs Production and Broadcasting,USAID Karnali Water Activity,Birendranagar Surkhet,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO"
PRINCIPAL SOFTWARE ENGINEER,GrowByData Services Pvt. Ltd.,Lalitpur,"Engineering - Software, Software Development"
PRINCIPAL DATA ENGINEER,GrowByData Services Pvt. Ltd.,Lalitpur,"Engineering - Software, Software Development"
"Family Planning and Reproductive Health (FP/RH), Task Order 3 (TO3) Logistics Outsourcing Deep Dive, Local Consultant",Chemonics International,Kathmandu,
Expression of Interest (EOI)  Karnali Earthquake Recovery Project Partnership: Disability Inclusive Livelihood,﻿﻿﻿﻿﻿﻿CBM Global Nepal Country Office,Kathmandu,"Development and Project, Expression of Interests, Tender Notice, Bid"
