Job Title,Company,Location,Category
"Family Planning and Reproductive Health (FP/RH), Task Order 3 (TO3) Logistics Outsourcing Deep Dive, Local Consultant",Chemonics International,Kathmandu,"Computer  - Technology/Management, Information Technology, Engineering - Computer, Software Development"
Expression of Interest (EOI)  Karnali Earthquake Recovery Project Partnership: Disability Inclusive Livelihood,﻿﻿﻿﻿﻿﻿CBM Global Nepal Country Office,"Information Technology, Engineering - Computer, Computer - Programming, Software Development",Kathmandu
Call for Request for Application (RFA) on USAID Karnali Water Challenge under USAID’s Karnali Water Activity Grants Program,USAID Karnali Water Activity,Web Design,Birendranagar Surkhet
Recruiting Specialist,TalentBridge Pro,"Education, Development / NGO",Lalitpur
QC Automation Trainee/Associate,ComplianceQuest Nepal Pvt. Ltd.,,Lalitpur
Software Developer – Configuration,ComplianceQuest Nepal Pvt. Ltd.,Content Writing,Lalitpur
Web Designer (UI/UX),Andmine,"Development and Project, Expression of Interests, Tender Notice, Bid",Kathmandu
Head of Department- English (Re - Advertisement),Kopila Valley School Pvt Ltd,"Administrative / Management, Sales",Kathmandu
SEO Senior specialist,Job Consult Nepal,"Computer - Programming, Web Development",Kathmandu
Content Writer,Job Consult Nepal,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / INGO",Kathmandu
Expression of Interest for Insurance Services (Re- advertised),dZi Foundation,"Development and Project, Expression of Interests, Tender Notice, Bid",Kathmandu
Office Executive,Reputed travel company,Front Desk / Reception,Computer - Hardware / Network
Senior Web Developer,Andmine,Kathmandu,"Technical, Computer - Hardware / Network"
Request for Proposal (RFP),FHI 360 Nepal,Administrative / Management,Kathmandu
Request for Proposal,USAID Karnali Water Activity,"Development and Project, Development / NGO, Think Tank, Research Institution",Kathmandu
Front Desk Receptionist,NCA College of Management,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / INGO",Kathmandu
Sr. System Administrator,LIS Nepal Pvt. Ltd. (Sister Concern of Yomari Group of Companies),"Engineering - Computer, Computer - Programming, Software Development",Kathmandu
