Job Title,Company,Location,Category
Grants and Procurement Officer,USAID Biodiversity (Jal Jangal),"Tourism Industry, Travel & Ticketing",Kathmandu
Team Lead,Creanovation Technologies Pvt. Ltd.,Sales,"Kathmandu, Other - Specify"
Consultant,Niti Foundation,Sales,"Kalikot, Kailali, Mugu, Dailekh"
Correspondence Representative and  Assistant Correspondence Representative,JourneyDMC,"Development and Project, NGO/INGO/Social work",Kathmandu
Sales person,Triyuga Sales and Marketing Pvt. Ltd,"Database Programming, Engineering - Software, Computer - Programming, Web Designing and Programming, Software Development, Core PHP Developer",Lalitpur
Corporate Sales manager,Triyuga Sales and Marketing Pvt. Ltd,Sales,"Engineer, Information Technology, Computer - Hardware / Network"
Intern(s),USAID Karnali Water Activity,Kathmandu,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO"
PHP Laravel Developer,Code Fusion Technologies Pvt. Ltd.,Kathmandu,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO"
Sales Officer,Sajilo Sewa,Kathmandu,"Engineering - Software, Software Development"
IT Support Engineer,ComplianceQuest Nepal Pvt. Ltd.,Kathmandu,"Engineering - Software, Software Development"
